"Hourly flow (m3/s), for default inSTREAM 6.0 project",
Values provided for water years 1995-99, Save in .csv format
Date,Hour,Green River flow (cms)
2/8/1998,21,62
2/8/1998,22,62.2
2/8/1998,23,62
2/9/1998,0,61.7
2/9/1998,1,61.8
2/9/1998,2,61.9
2/9/1998,3,62.1
2/9/1998,4,62
2/9/1998,5,62.1
2/9/1998,6,62.2
2/9/1998,7,61.7
2/9/1998,8,62.2
2/9/1998,9,62.1
2/9/1998,10,61.8
2/9/1998,11,61.7
2/9/1998,12,62.1
2/9/1998,13,62.2
2/9/1998,14,62
2/9/1998,15,61.7
2/9/1998,16,62
2/9/1998,17,61.6
2/9/1998,18,62.3
2/9/1998,19,62
2/9/1998,20,61.8
2/9/1998,21,62.2
2/9/1998,22,61.9
2/9/1998,23,62.4
2/10/1998,0,62.2
2/10/1998,1,62
2/10/1998,2,61.5
2/10/1998,3,62.3
2/10/1998,4,62
2/10/1998,5,62.1
2/10/1998,6,61.9
2/10/1998,7,62
2/10/1998,8,62
2/10/1998,9,61.9
2/10/1998,10,61.9
2/10/1998,11,61.6
2/10/1998,12,62.1
2/10/1998,13,62.5
2/10/1998,14,62
2/10/1998,15,62.2
2/10/1998,16,62.2
2/10/1998,17,61.9
2/10/1998,18,62.1
2/10/1998,19,61.7
2/10/1998,20,61.6
2/10/1998,21,62.2
2/10/1998,22,61.7
2/10/1998,23,62.2
2/11/1998,0,62.6
2/11/1998,1,62.1
2/11/1998,2,62.2
2/11/1998,3,61.6
2/11/1998,4,61.8
2/11/1998,5,62.1
2/11/1998,6,61.8
2/11/1998,7,61.9
2/11/1998,8,62
2/11/1998,9,62.4
2/11/1998,10,62.5
2/11/1998,11,61.8
2/11/1998,12,61.7
2/11/1998,13,62.3
2/11/1998,14,61.9
2/11/1998,15,62.1
2/11/1998,16,62
2/11/1998,17,62.4
2/11/1998,18,61.8
2/11/1998,19,62.1
2/11/1998,20,62.3
2/11/1998,21,61.8
2/11/1998,22,62
2/11/1998,23,61.8
2/12/1998,0,62.4
2/12/1998,1,62.3
2/12/1998,2,61.6
2/12/1998,3,62
2/12/1998,4,61.6
2/12/1998,5,61.8
2/12/1998,6,61.9
2/12/1998,7,61.8
2/12/1998,8,62.1
2/12/1998,9,62
2/12/1998,10,62.1
2/12/1998,11,61.7
2/12/1998,12,62.2
2/12/1998,13,61.7
2/12/1998,14,62.1
2/12/1998,15,61.8
2/12/1998,16,61.8
2/12/1998,17,62
2/12/1998,18,61.9
2/12/1998,19,61.8
2/12/1998,20,61.9
2/12/1998,21,62.2
2/12/1998,22,62.1
2/12/1998,23,61.9
2/13/1998,0,61.7
2/13/1998,1,62.2
2/13/1998,2,62.1
2/13/1998,3,62
2/13/1998,4,61.9
2/13/1998,5,62
2/13/1998,6,61.8
2/13/1998,7,62.1
2/13/1998,8,61.8
2/13/1998,9,62.3
2/13/1998,10,62
2/13/1998,11,61.9
2/13/1998,12,62
2/13/1998,13,62.1
2/13/1998,14,62
2/13/1998,15,62.1
2/13/1998,16,61.9
2/13/1998,17,62.1
2/13/1998,18,61.7
2/13/1998,19,62
2/13/1998,20,61.9
2/13/1998,21,61.8
2/13/1998,22,62.5
2/13/1998,23,61.9
2/14/1998,0,61.7
2/14/1998,1,61.7
2/14/1998,2,61.9
2/14/1998,3,61.7
2/14/1998,4,61.8
2/14/1998,5,61.9
2/14/1998,6,61.7
2/14/1998,7,61.9
2/14/1998,8,61.8
2/14/1998,9,62.2
2/14/1998,10,62.2
2/14/1998,11,62
2/14/1998,12,62
2/14/1998,13,62
2/14/1998,14,62.3
2/14/1998,15,62.1
2/14/1998,16,62.2
2/14/1998,17,62.3
2/14/1998,18,62
2/14/1998,19,61.7
2/14/1998,20,61.7
2/14/1998,21,62
2/14/1998,22,61.8
2/14/1998,23,61.9
2/15/1998,0,61.8
2/15/1998,1,61.8
2/15/1998,2,62.4
2/15/1998,3,62.2
2/15/1998,4,62.3
2/15/1998,5,61.9
2/15/1998,6,61.8
2/15/1998,7,61.9
2/15/1998,8,62.1
2/15/1998,9,62.2
2/15/1998,10,62.1
2/15/1998,11,61.9
2/15/1998,12,62.2
2/15/1998,13,62.2
2/15/1998,14,62
2/15/1998,15,62
2/15/1998,16,62.2
2/15/1998,17,61.8
2/15/1998,18,62.1
2/15/1998,19,62.4
2/15/1998,20,61.7
2/15/1998,21,62
2/15/1998,22,61.8
2/15/1998,23,62.1
2/16/1998,0,62
2/16/1998,1,62.1
2/16/1998,2,62
2/16/1998,3,61.8
2/16/1998,4,61.8
2/16/1998,5,62
2/16/1998,6,61.7
2/16/1998,7,61.6
2/16/1998,8,61.7
2/16/1998,9,62.1
2/16/1998,10,61.8
2/16/1998,11,62
2/16/1998,12,62.3
2/16/1998,13,62
2/16/1998,14,62.1
2/16/1998,15,62
2/16/1998,16,61.8
2/16/1998,17,61.6
2/16/1998,18,62
2/16/1998,19,61.7
2/16/1998,20,62
2/16/1998,21,62.4
2/16/1998,22,61.8
2/16/1998,23,62.4
2/17/1998,0,62.5
2/17/1998,1,61.7
2/17/1998,2,62.1
2/17/1998,3,62.6
2/17/1998,4,61.8
2/17/1998,5,61.9
2/17/1998,6,61.9
2/17/1998,7,62
2/17/1998,8,61.7
2/17/1998,9,62
2/17/1998,10,61.6
2/17/1998,11,62
2/17/1998,12,62.4
2/17/1998,13,62.1
2/17/1998,14,62.3
2/17/1998,15,61.8
2/17/1998,16,61.6
2/17/1998,17,62.3
2/17/1998,18,61.8
2/17/1998,19,61.8
2/17/1998,20,61.8
2/17/1998,21,62
2/17/1998,22,62.1
2/17/1998,23,62.1
2/18/1998,0,61.8
2/18/1998,1,61.9
2/18/1998,2,61.9
2/18/1998,3,62
2/18/1998,4,62.2
2/18/1998,5,62
2/18/1998,6,62.1
2/18/1998,7,62
2/18/1998,8,61.8
2/18/1998,9,62
2/18/1998,10,61.7
2/18/1998,11,61.8
2/18/1998,12,61.6
2/18/1998,13,61.8
2/18/1998,14,61.8
2/18/1998,15,61.8
2/18/1998,16,62.1
2/18/1998,17,61.7
2/18/1998,18,62.2
2/18/1998,19,62.4
2/18/1998,20,62
2/18/1998,21,61.8
2/18/1998,22,62
2/18/1998,23,62.5
2/19/1998,0,62.1
2/19/1998,1,62
2/19/1998,2,62.2
2/19/1998,3,62
2/19/1998,4,62.1
2/19/1998,5,62.1
2/19/1998,6,61.7
2/19/1998,7,62
2/19/1998,8,62.4
2/19/1998,9,62.5
2/19/1998,10,62.1
2/19/1998,11,62.1
2/19/1998,12,61.9
2/19/1998,13,62.6
2/19/1998,14,63
2/19/1998,15,62.4
2/19/1998,16,62.5
2/19/1998,17,62.8
2/19/1998,18,62.7
2/19/1998,19,62.4
2/19/1998,20,62.8
2/19/1998,21,62.6
2/19/1998,22,62.5
2/19/1998,23,62.4
2/20/1998,0,62.5
2/20/1998,1,62.9
2/20/1998,2,62.5
2/20/1998,3,62.5
2/20/1998,4,62.4
2/20/1998,5,62.6
2/20/1998,6,63.1
2/20/1998,7,62.5
2/20/1998,8,62.8
2/20/1998,9,63
2/20/1998,10,62.5
2/20/1998,11,62.6
2/20/1998,12,62.6
2/20/1998,13,62.2
2/20/1998,14,62.8
2/20/1998,15,62.3
2/20/1998,16,62.8
2/20/1998,17,62.2
2/20/1998,18,62.3
2/20/1998,19,62.1
2/20/1998,20,62.5
2/20/1998,21,62.4
2/20/1998,22,62.9
2/20/1998,23,62.8
2/21/1998,0,62.5
2/21/1998,1,63.3
2/21/1998,2,62.6
2/21/1998,3,62.2
2/21/1998,4,62.8
2/21/1998,5,62.5
2/21/1998,6,62.8
2/21/1998,7,62.3
2/21/1998,8,62.6
2/21/1998,9,62.8
2/21/1998,10,62.9
2/21/1998,11,63
2/21/1998,12,62.2
2/21/1998,13,62.6
2/21/1998,14,62.6
2/21/1998,15,62.5
2/21/1998,16,62.6
2/21/1998,17,62.5
2/21/1998,18,62
2/21/1998,19,62.5
2/21/1998,20,62.4
2/21/1998,21,62.4
2/21/1998,22,62.8
2/21/1998,23,63
2/22/1998,0,63.1
2/22/1998,1,62.8
2/22/1998,2,62.5
2/22/1998,3,62.5
2/22/1998,4,62.6
2/22/1998,5,62.2
2/22/1998,6,62.6
2/22/1998,7,62.8
2/22/1998,8,62.6
2/22/1998,9,62.5
2/22/1998,10,62.5
2/22/1998,11,62.4
2/22/1998,12,62.8
2/22/1998,13,62.4
2/22/1998,14,62.4
2/22/1998,15,62.5
2/22/1998,16,62.3
2/22/1998,17,62.5
2/22/1998,18,62.3
2/22/1998,19,62.4
2/22/1998,20,62.8
2/22/1998,21,62.8
2/22/1998,22,62.6
2/22/1998,23,63.3
2/23/1998,0,62.8
2/23/1998,1,62.9
2/23/1998,2,62.9
2/23/1998,3,62.5
2/23/1998,4,62.2
2/23/1998,5,62.5
2/23/1998,6,62.6
2/23/1998,7,62.1
2/23/1998,8,63.1
2/23/1998,9,62.6
2/23/1998,10,62.5
2/23/1998,11,63.1
2/23/1998,12,62.6
2/23/1998,13,62.6
2/23/1998,14,62.6
2/23/1998,15,62.6
2/23/1998,16,62.2
2/23/1998,17,62.1
2/23/1998,18,62.6
2/23/1998,19,62.7
2/23/1998,20,63.1
2/23/1998,21,63.1
2/23/1998,22,63.1
2/23/1998,23,63.3
2/24/1998,0,63
2/24/1998,1,63
2/24/1998,2,62.9
2/24/1998,3,62.8
2/24/1998,4,62.6
2/24/1998,5,62.9
2/24/1998,6,62.5
2/24/1998,7,62.9
2/24/1998,8,63.1
2/24/1998,9,62.9
2/24/1998,10,61.7
2/24/1998,11,62.7
2/24/1998,12,62.7
2/24/1998,13,62.4
2/24/1998,14,62.4
2/24/1998,15,62.4
2/24/1998,16,62.6
2/24/1998,17,62.8
2/24/1998,18,61.9
2/24/1998,19,63
2/24/1998,20,62.6
2/24/1998,21,62.6
2/24/1998,22,62.2
2/24/1998,23,62.2
2/25/1998,0,63.1
2/25/1998,1,62.4
2/25/1998,2,62.7
2/25/1998,3,62.5
2/25/1998,4,62.6
2/25/1998,5,62.5
2/25/1998,6,62.4
2/25/1998,7,62.1
2/25/1998,8,62.8
2/25/1998,9,62.6
2/25/1998,10,62.5
2/25/1998,11,62
2/25/1998,12,62.6
2/25/1998,13,62.4
2/25/1998,14,61.9
2/25/1998,15,62
2/25/1998,16,62.4
2/25/1998,17,62.4
2/25/1998,18,62.1
2/25/1998,19,62.8
2/25/1998,20,61.9
2/25/1998,21,62.5
2/25/1998,22,62.4
2/25/1998,23,62.5
2/26/1998,0,62.2
2/26/1998,1,62.8
2/26/1998,2,62.4
2/26/1998,3,62.4
2/26/1998,4,62.4
2/26/1998,5,62.2
2/26/1998,6,62.5
2/26/1998,7,62.9
2/26/1998,8,63.2
2/26/1998,9,62.4
2/26/1998,10,62.4
2/26/1998,11,62.7
2/26/1998,12,62.6
2/26/1998,13,62.5
2/26/1998,14,62.8
2/26/1998,15,62.2
2/26/1998,16,62.6
2/26/1998,17,62.4
2/26/1998,18,62.4
2/26/1998,19,63.2
2/26/1998,20,62.5
2/26/1998,21,62.4
2/26/1998,22,62.8
2/26/1998,23,63.7
2/27/1998,0,66.9
2/27/1998,1,74.6
2/27/1998,2,74.5
2/27/1998,3,74.5
2/27/1998,4,73.9
2/27/1998,5,74.5
2/27/1998,6,73.9
2/27/1998,7,74.2
2/27/1998,8,74.5
2/27/1998,9,74.6
2/27/1998,10,74.5
2/27/1998,11,74
2/27/1998,12,74.9
2/27/1998,13,74.2
2/27/1998,14,74.4
2/27/1998,15,74.7
2/27/1998,16,74.3
2/27/1998,17,73.9
2/27/1998,18,73.2
2/27/1998,19,74.9
2/27/1998,20,74.1
2/27/1998,21,79.1
2/27/1998,22,74.5
2/27/1998,23,74.2
2/28/1998,0,74
2/28/1998,1,74.9
2/28/1998,2,74.7
2/28/1998,3,74.3
2/28/1998,4,74.4
2/28/1998,5,74.4
2/28/1998,6,74.6
2/28/1998,7,74.1
2/28/1998,8,74
2/28/1998,9,74.4
2/28/1998,10,74.9
2/28/1998,11,74.8
2/28/1998,12,74.2
2/28/1998,13,74.4
2/28/1998,14,74.5
2/28/1998,15,74.7
2/28/1998,16,74.5
2/28/1998,17,74.1
2/28/1998,18,74.8
2/28/1998,19,74.1
2/28/1998,20,74.8
2/28/1998,21,74.6
2/28/1998,22,74.5
2/28/1998,23,74.9
3/1/1998,0,74.4
3/1/1998,1,74.2
3/1/1998,2,74.1
3/1/1998,3,74.5
3/1/1998,4,74.9
3/1/1998,5,74.5
3/1/1998,6,74.5
3/1/1998,7,74.2
3/1/1998,8,74.4
3/1/1998,9,74.9
3/1/1998,10,74.5
3/1/1998,11,74.7
3/1/1998,12,74.4
3/1/1998,13,74.8
3/1/1998,14,74.4
3/1/1998,15,74.2
3/1/1998,16,74.3
3/1/1998,17,75
3/1/1998,18,74.1
3/1/1998,19,74
3/1/1998,20,74.8
3/1/1998,21,74.6
3/1/1998,22,74.5
3/1/1998,23,75
3/2/1998,0,74.6
3/2/1998,1,74.8
3/2/1998,2,74.4
3/2/1998,3,74.8
3/2/1998,4,74.1
3/2/1998,5,74.3
3/2/1998,6,74.4
3/2/1998,7,74.4
3/2/1998,8,74.4
3/2/1998,9,74.5
3/2/1998,10,74.3
3/2/1998,11,74.6
3/2/1998,12,74.1
3/2/1998,13,74.5
3/2/1998,14,74.5
3/2/1998,15,74.3
3/2/1998,16,74.6
3/2/1998,17,74.4
3/2/1998,18,74.4
3/2/1998,19,74.5
3/2/1998,20,74.7
3/2/1998,21,74.7
3/2/1998,22,75.8
3/2/1998,23,75.1
3/3/1998,0,74.2
3/3/1998,1,74.6
3/3/1998,2,74.4
3/3/1998,3,74.8
3/3/1998,4,74.2
3/3/1998,5,74.5
3/3/1998,6,74.8
3/3/1998,7,74.8
3/3/1998,8,76.1
3/3/1998,9,74.9
3/3/1998,10,74.2
3/3/1998,11,74.2
3/3/1998,12,74.6
3/3/1998,13,74
3/3/1998,14,74.4
3/3/1998,15,74.1
3/3/1998,16,74.1
3/3/1998,17,74.2
3/3/1998,18,74.5
3/3/1998,19,74.5
3/3/1998,20,74.3
3/3/1998,21,74.4
3/3/1998,22,74.6
3/3/1998,23,74.6
3/4/1998,0,75.2
3/4/1998,1,74.5
3/4/1998,2,74.7
3/4/1998,3,74.9
3/4/1998,4,74.4
3/4/1998,5,74.4
3/4/1998,6,74.1
3/4/1998,7,74.5
3/4/1998,8,74.2
3/4/1998,9,74.4
3/4/1998,10,74
3/4/1998,11,74.1
3/4/1998,12,74.4
3/4/1998,13,74.2
3/4/1998,14,73.9
3/4/1998,15,74.6
3/4/1998,16,74.8
3/4/1998,17,74.5
3/4/1998,18,74.4
3/4/1998,19,74.4
3/4/1998,20,74.4
3/4/1998,21,74.4
3/4/1998,22,74.5
3/4/1998,23,74.3
3/5/1998,0,74.2
3/5/1998,1,74.6
3/5/1998,2,74
3/5/1998,3,74.5
3/5/1998,4,74.4
3/5/1998,5,73.7
3/5/1998,6,74.6
3/5/1998,7,74.5
3/5/1998,8,74.6
3/5/1998,9,73.9
3/5/1998,10,75
3/5/1998,11,74.2
3/5/1998,12,74.5
3/5/1998,13,74.1
3/5/1998,14,74.4
3/5/1998,15,74.9
3/5/1998,16,74.2
3/5/1998,17,74.4
3/5/1998,18,74.2
3/5/1998,19,74.1
3/5/1998,20,74.5
3/5/1998,21,74.5
3/5/1998,22,74.6
3/5/1998,23,74.2
3/6/1998,0,74.2
3/6/1998,1,74.6
3/6/1998,2,74.4
3/6/1998,3,74.5
3/6/1998,4,74.6
3/6/1998,5,74.3
3/6/1998,6,74.4
3/6/1998,7,74
3/6/1998,8,74
3/6/1998,9,73.9
3/6/1998,10,74.3
3/6/1998,11,74
3/6/1998,12,74.4
3/6/1998,13,74.4
3/6/1998,14,74.4
3/6/1998,15,75.9
3/6/1998,16,76.1
3/6/1998,17,74.4
3/6/1998,18,73.9
3/6/1998,19,74.5
3/6/1998,20,74.6
3/6/1998,21,74.6
3/6/1998,22,74.8
3/6/1998,23,74.2
3/7/1998,0,74.5
3/7/1998,1,74.3
3/7/1998,2,74.7
3/7/1998,3,74.8
3/7/1998,4,74.7
3/7/1998,5,74.4
3/7/1998,6,74.2
3/7/1998,7,74.3
3/7/1998,8,74.6
3/7/1998,9,74.5
3/7/1998,10,74.5
3/7/1998,11,74.5
3/7/1998,12,74.9
3/7/1998,13,74.7
3/7/1998,14,74.5
3/7/1998,15,74.5
3/7/1998,16,74.5
3/7/1998,17,74.2
3/7/1998,18,74.6
3/7/1998,19,74.8
3/7/1998,20,74.8
3/7/1998,21,74.9
3/7/1998,22,74.6
3/7/1998,23,74.9
3/8/1998,0,74.5
3/8/1998,1,75.2
3/8/1998,2,74.8
3/8/1998,3,74.4
3/8/1998,4,74.5
3/8/1998,5,74.6
3/8/1998,6,74.8
3/8/1998,7,74.3
3/8/1998,8,74.6
3/8/1998,9,74.4
3/8/1998,10,74.1
3/8/1998,11,74.2
3/8/1998,12,74.6
3/8/1998,13,74.4
3/8/1998,14,74.4
3/8/1998,15,74.1
3/8/1998,16,74.5
3/8/1998,17,74.7
3/8/1998,18,74.6
3/8/1998,19,74.5
3/8/1998,20,74.4
3/8/1998,21,74.2
3/8/1998,22,74.5
3/8/1998,23,74.6
3/9/1998,0,75.2
3/9/1998,1,74.9
3/9/1998,2,74.5
3/9/1998,3,74.5
3/9/1998,4,74.2
3/9/1998,5,74.4
3/9/1998,6,74.8
3/9/1998,7,74
3/9/1998,8,74.6
3/9/1998,9,74
3/9/1998,10,74.9
3/9/1998,11,74.1
3/9/1998,12,74
3/9/1998,13,74.4
3/9/1998,14,75.1
3/9/1998,15,74.5
3/9/1998,16,74.2
3/9/1998,17,74
3/9/1998,18,74.3
3/9/1998,19,74.4
3/9/1998,20,74.8
3/9/1998,21,74.6
3/9/1998,22,74.4
3/9/1998,23,75
3/10/1998,0,74.7
3/10/1998,1,74.9
3/10/1998,2,74.9
3/10/1998,3,74.3
3/10/1998,4,74.7
3/10/1998,5,74.6
3/10/1998,6,74.5
3/10/1998,7,74
3/10/1998,8,74.4
3/10/1998,9,74.7
3/10/1998,10,74.1
3/10/1998,11,74.4
3/10/1998,12,74.4
3/10/1998,13,74.2
3/10/1998,14,74.8
3/10/1998,15,74.2
3/10/1998,16,74.6
3/10/1998,17,74.8
3/10/1998,18,74.1
3/10/1998,19,75
3/10/1998,20,74.8
3/10/1998,21,75
3/10/1998,22,74.7
3/10/1998,23,74.4
3/11/1998,0,76.6
3/11/1998,1,79.3
3/11/1998,2,79.9
3/11/1998,3,79.7
3/11/1998,4,79.3
3/11/1998,5,79.5
3/11/1998,6,79.3
3/11/1998,7,79.6
3/11/1998,8,79.6
3/11/1998,9,79.2
3/11/1998,10,79.4
3/11/1998,11,79.4
3/11/1998,12,79.4
3/11/1998,13,80
3/11/1998,14,79.3
3/11/1998,15,79.9
3/11/1998,16,79.1
3/11/1998,17,79.5
3/11/1998,18,78.7
3/11/1998,19,79.5
3/11/1998,20,79.5
3/11/1998,21,79.6
3/11/1998,22,79.9
3/11/1998,23,79.5
3/12/1998,0,79.9
3/12/1998,1,79.7
3/12/1998,2,79.1
3/12/1998,3,79.3
3/12/1998,4,79.1
3/12/1998,5,79.5
3/12/1998,6,79.7
3/12/1998,7,79.7
3/12/1998,8,79.5
3/12/1998,9,80.1
3/12/1998,10,79.9
3/12/1998,11,79.2
3/12/1998,12,79.6
3/12/1998,13,79.3
3/12/1998,14,79.4
3/12/1998,15,79.3
3/12/1998,16,79.3
3/12/1998,17,79.3
3/12/1998,18,79.3
3/12/1998,19,79.5
3/12/1998,20,79.6
3/12/1998,21,79.6
3/12/1998,22,78.9
3/12/1998,23,79.9
3/13/1998,0,79.5
3/13/1998,1,79.2
3/13/1998,2,79.7
3/13/1998,3,79.7
3/13/1998,4,79.4
3/13/1998,5,79.3
3/13/1998,6,79.6
3/13/1998,7,79.1
3/13/1998,8,79.5
3/13/1998,9,79.7
3/13/1998,10,79.2
3/13/1998,11,83.6
3/13/1998,12,79.8
3/13/1998,13,79.3
3/13/1998,14,79.6
3/13/1998,15,79.3
3/13/1998,16,79.6
3/13/1998,17,79.3
3/13/1998,18,79.5
3/13/1998,19,79.2
3/13/1998,20,79.4
3/13/1998,21,79.4
3/13/1998,22,79.6
3/13/1998,23,79.7
3/14/1998,0,79.8
3/14/1998,1,79.6
3/14/1998,2,79.8
3/14/1998,3,79.3
3/14/1998,4,79.5
3/14/1998,5,79.3
3/14/1998,6,79.3
3/14/1998,7,79.5
3/14/1998,8,79.7
3/14/1998,9,79.1
3/14/1998,10,79.7
3/14/1998,11,79.3
3/14/1998,12,79.5
3/14/1998,13,79.5
3/14/1998,14,79.5
3/14/1998,15,79.9
3/14/1998,16,79.8
3/14/1998,17,79.4
3/14/1998,18,78.8
3/14/1998,19,79.4
3/14/1998,20,80
3/14/1998,21,79.2
3/14/1998,22,79.7
3/14/1998,23,80.2
3/15/1998,0,79.4
3/15/1998,1,79.7
3/15/1998,2,79.6
3/15/1998,3,79.5
3/15/1998,4,79.7
3/15/1998,5,79.5
3/15/1998,6,79.6
3/15/1998,7,79.5
3/15/1998,8,79.1
3/15/1998,9,79.9
3/15/1998,10,79.6
3/15/1998,11,79.1
3/15/1998,12,79.3
3/15/1998,13,79.8
3/15/1998,14,79.2
3/15/1998,15,79.4
3/15/1998,16,79.7
3/15/1998,17,79.8
3/15/1998,18,79.3
3/15/1998,19,79.3
3/15/1998,20,79.1
3/15/1998,21,79.5
3/15/1998,22,79.9
3/15/1998,23,79.7
3/16/1998,0,79.7
3/16/1998,1,79.4
3/16/1998,2,80.1
3/16/1998,3,79.5
3/16/1998,4,79.4
3/16/1998,5,79.3
3/16/1998,6,79.5
3/16/1998,7,79.9
3/16/1998,8,79.4
3/16/1998,9,79.5
3/16/1998,10,79.9
3/16/1998,11,79.4
3/16/1998,12,79.8
3/16/1998,13,79.7
3/16/1998,14,79.3
3/16/1998,15,79.1
3/16/1998,16,79.7
3/16/1998,17,79.5
3/16/1998,18,79.5
3/16/1998,19,79.5
3/16/1998,20,79.6
3/16/1998,21,79.6
3/16/1998,22,79
3/16/1998,23,79.2
3/17/1998,0,79.5
3/17/1998,1,79.7
3/17/1998,2,80
3/17/1998,3,79.6
3/17/1998,4,79.6
3/17/1998,5,79.2
3/17/1998,6,79.6
3/17/1998,7,79.6
3/17/1998,8,79.5
3/17/1998,9,79.7
3/17/1998,10,79.4
3/17/1998,11,79.6
3/17/1998,12,79.5
3/17/1998,13,79.6
3/17/1998,14,79.5
3/17/1998,15,80.3
3/17/1998,16,79.2
3/17/1998,17,79.6
3/17/1998,18,79.3
3/17/1998,19,79.9
3/17/1998,20,79.5
3/17/1998,21,79.1
3/17/1998,22,79.5
3/17/1998,23,79.7
3/18/1998,0,79.1
3/18/1998,1,79.7
3/18/1998,2,79.7
3/18/1998,3,80.1
3/18/1998,4,79.9
3/18/1998,5,79.6
3/18/1998,6,79.6
3/18/1998,7,79.8
3/18/1998,8,79.3
3/18/1998,9,79.5
3/18/1998,10,79.2
3/18/1998,11,79.6
3/18/1998,12,79.3
3/18/1998,13,79.4
3/18/1998,14,79.7
3/18/1998,15,79.8
3/18/1998,16,79.3
3/18/1998,17,79.4
3/18/1998,18,78.9
3/18/1998,19,79.8
3/18/1998,20,79.6
3/18/1998,21,79.3
3/18/1998,22,79.6
3/18/1998,23,79.5
3/19/1998,0,79.8
3/19/1998,1,79.7
3/19/1998,2,79.7
3/19/1998,3,79.5
3/19/1998,4,79.6
3/19/1998,5,79.7
3/19/1998,6,79.9
3/19/1998,7,80
3/19/1998,8,79.3
3/19/1998,9,79.2
3/19/1998,10,79.8
3/19/1998,11,79.2
3/19/1998,12,79.2
3/19/1998,13,79.2
3/19/1998,14,79.9
3/19/1998,15,79.3
3/19/1998,16,79.2
3/19/1998,17,79.7
3/19/1998,18,79.5
3/19/1998,19,79.2
3/19/1998,20,79.5
3/19/1998,21,79.4
3/19/1998,22,80
3/19/1998,23,79.8
3/20/1998,0,79.1
3/20/1998,1,79.2
3/20/1998,2,79.8
3/20/1998,3,79.3
3/20/1998,4,79.3
3/20/1998,5,79.6
3/20/1998,6,80.5
3/20/1998,7,79.2
3/20/1998,8,79.3
3/20/1998,9,79.7
3/20/1998,10,79.2
3/20/1998,11,79.6
3/20/1998,12,79.5
3/20/1998,13,79.5
3/20/1998,14,79.2
3/20/1998,15,79.2
3/20/1998,16,79.6
3/20/1998,17,79.5
3/20/1998,18,79.5
3/20/1998,19,79.1
3/20/1998,20,79.4
3/20/1998,21,79.2
3/20/1998,22,79.3
3/20/1998,23,79.3
3/21/1998,0,79.2
3/21/1998,1,79.6
3/21/1998,2,79.3
3/21/1998,3,79.4
3/21/1998,4,79.5
3/21/1998,5,79.5
3/21/1998,6,79.6
3/21/1998,7,79.3
3/21/1998,8,79.6
3/21/1998,9,78.9
3/21/1998,10,79.7
3/21/1998,11,79.8
3/21/1998,12,79.9
3/21/1998,13,79.3
3/21/1998,14,80
3/21/1998,15,79.6
3/21/1998,16,79.3
3/21/1998,17,79.5
3/21/1998,18,79.7
3/21/1998,19,79.3
3/21/1998,20,79.2
3/21/1998,21,79.5
3/21/1998,22,79.6
3/21/1998,23,80.1
3/22/1998,0,79.3
3/22/1998,1,79.3
3/22/1998,2,79.1
3/22/1998,3,79.6
3/22/1998,4,79.7
3/22/1998,5,79.5
3/22/1998,6,79.8
3/22/1998,7,79.7
3/22/1998,8,79.3
3/22/1998,9,79.6
3/22/1998,10,79.5
3/22/1998,11,79.3
3/22/1998,12,79.3
3/22/1998,13,80
3/22/1998,14,79.7
3/22/1998,15,79.7
3/22/1998,16,79.6
3/22/1998,17,79.5
3/22/1998,18,79
3/22/1998,19,79.7
3/22/1998,20,78.7
3/22/1998,21,79.3
3/22/1998,22,79.7
3/22/1998,23,80
3/23/1998,0,79.5
3/23/1998,1,79.5
3/23/1998,2,79.6
3/23/1998,3,79.7
3/23/1998,4,79.6
3/23/1998,5,79.5
3/23/1998,6,79.5
3/23/1998,7,79.6
3/23/1998,8,79.3
3/23/1998,9,79.2
3/23/1998,10,79.9
3/23/1998,11,79.6
3/23/1998,12,79.1
3/23/1998,13,79.5
3/23/1998,14,79.1
3/23/1998,15,79.5
3/23/1998,16,79.2
3/23/1998,17,79.4
3/23/1998,18,79.5
3/23/1998,19,79.7
3/23/1998,20,79.4
3/23/1998,21,79.4
3/23/1998,22,79.3
3/23/1998,23,78.7
3/24/1998,0,79.7
3/24/1998,1,79.7
3/24/1998,2,79.6
3/24/1998,3,79.5
3/24/1998,4,79.6
3/24/1998,5,78.9
3/24/1998,6,79.2
3/24/1998,7,79.5
3/24/1998,8,80
3/24/1998,9,79.2
3/24/1998,10,79.2
3/24/1998,11,79.6
3/24/1998,12,80.5
3/24/1998,13,79.6
3/24/1998,14,79.2
3/24/1998,15,79.3
3/24/1998,16,79.1
3/24/1998,17,79.3
3/24/1998,18,79.6
3/24/1998,19,79.5
3/24/1998,20,80
3/24/1998,21,79.4
3/24/1998,22,79.5
3/24/1998,23,79.7
3/25/1998,0,80.4
3/25/1998,1,79.5
3/25/1998,2,79.5
3/25/1998,3,79.4
3/25/1998,4,79.9
3/25/1998,5,79.3
3/25/1998,6,79.4
3/25/1998,7,79.5
3/25/1998,8,78.5
3/25/1998,9,79.7
3/25/1998,10,79.3
3/25/1998,11,79.1
3/25/1998,12,79.5
3/25/1998,13,79.4
3/25/1998,14,78.9
3/25/1998,15,79.6
3/25/1998,16,79.4
3/25/1998,17,79.6
3/25/1998,18,79.3
3/25/1998,19,79.4
3/25/1998,20,78.9
3/25/1998,21,79.8
3/25/1998,22,79.1
3/25/1998,23,79.5
3/26/1998,0,79.6
3/26/1998,1,79.3
3/26/1998,2,79.5
